init done with 
memory test
ram start 0x20000000 
mem size 65536 bytes
heap start 0x200005e4, current 0x200005e4 

mem test done with 0
motor test
motors step response : 

800, -255, 1280, 1209, -3021.851, -2251.585
807, -255, 1266, 1199, -3165.296, -2326.110
814, -255, 1253, 1189, -3190.707, -2378.277
821, -255, 1239, 1179, -3283.495, -2414.793
828, -255, 1226, 1168, -3273.446, -2515.355
835, -255, 1212, 1158, -3341.412, -2510.749
842, -255, 1198, 1148, -3388.988, -2507.524
849, -255, 1184, 1137, -3422.291, -2580.266
856, -255, 1171, 1127, -3370.604, -2556.186
863, -255, 1156, 1116, -3484.422, -2614.330
870, -255, 1142, 1106, -3489.095, -2580.031
877, -255, 1128, 1095, -3492.367, -2631.021
884, -255, 1114, 1085, -3494.656, -2591.715
891, -255, 1101, 1074, -3421.259, -2639.200
898, -255, 1086, 1064, -3519.881, -2597.440
905, -255, 1072, 1053, -3513.917, -2643.208
912, -255, 1058, 1042, -3509.741, -2675.245
919, -255, 1044, 1032, -3506.819, -2622.672
926, -255, 1030, 1021, -3504.773, -2660.870
933, -255, 1016, 1011, -3503.341, -2612.609
940, -255, 1002, 1000, -3502.338, -2653.826
947, -255, 988, 989, -3501.637, -2682.678
954, -255, 973, 979, -3576.145, -2627.874
961, -255, 959, 969, -3553.302, -2589.512
968, -255, 946, 958, -3462.311, -2637.658
975, -255, 931, 947, -3548.617, -2671.360
982, -255, 917, 937, -3534.032, -2619.952
989, -255, 903, 926, -3523.822, -2658.966
996, -255, 889, 916, -3516.675, -2611.276
1003, -255, 874, 905, -3586.673, -2652.893
1010, -255, 861, 894, -3485.671, -2682.025
1017, -255, 846, 884, -3564.969, -2627.417
1024, -255, 832, 873, -3545.478, -2664.192
1031, -255, 818, 863, -3531.835, -2614.934
1038, -255, 804, 852, -3522.284, -2655.454
1045, -255, 790, 841, -3515.599, -2683.817
1052, -255, 776, 831, -3510.919, -2628.672
1059, -255, 762, 820, -3507.643, -2665.070
1066, -255, 748, 809, -3505.350, -2690.549
1073, -255, 733, 799, -3578.745, -2633.384
1080, -255, 719, 789, -3555.121, -2593.369
1087, -255, 705, 778, -3538.584, -2640.358
1094, -255, 691, 767, -3527.009, -2673.250
1101, -255, 677, 756, -3518.906, -2696.275
1108, -255, 663, 746, -3513.234, -2637.392
1115, -255, 649, 736, -3509.264, -2596.174
1122, -255, 634, 725, -3581.484, -2642.322
1129, -255, 621, 714, -3482.039, -2674.625
1136, -255, 607, 704, -3487.427, -2622.237
1143, -255, 592, 693, -3566.199, -2660.566
1150, -255, 578, 683, -3546.339, -2612.396
1157, -255, 564, 672, -3532.437, -2653.677
1164, -255, 550, 661, -3522.706, -2682.574
1171, -255, 536, 651, -3515.894, -2627.801
1178, -255, 522, 640, -3511.125, -2664.461
1185, -255, 508, 630, -3507.788, -2615.122
1192, -255, 494, 619, -3505.451, -2655.585
1199, -255, 479, 609, -3578.816, -2608.910
1206, -255, 466, 598, -3480.171, -2651.237
1213, -255, 451, 587, -3561.119, -2680.865
1220, -255, 437, 577, -3542.783, -2626.606
1227, -255, 423, 566, -3529.948, -2663.624
1234, -255, 409, 556, -3520.964, -2614.536
1241, -255, 395, 545, -3514.674, -2655.175
1248, -255, 381, 534, -3510.272, -2683.623
1255, -255, 367, 524, -3507.190, -2628.536
1262, -255, 353, 514, -3505.033, -2589.975
1269, -255, 338, 503, -3578.523, -2637.982
1276, -255, 324, 492, -3554.966, -2671.587
1283, -255, 311, 482, -3463.476, -2620.111
1290, -255, 296, 471, -3549.433, -2659.077
1297, -255, 282, 461, -3534.603, -2611.354
1304, -255, 268, 450, -3524.222, -2652.947
1311, -255, 254, 439, -3516.955, -2682.063
1318, -255, 240, 429, -3511.868, -2627.444
1325, -255, 226, 419, -3508.308, -2589.210
1332, -255, 212, 408, -3505.815, -2637.447
1339, -255, 198, 397, -3504.071, -2671.213
1346, -255, 184, 386, -3502.849, -2694.849
1353, -255, 169, 376, -3576.994, -2636.394
1360, -255, 156, 366, -3478.896, -2595.475
1367, -255, 141, 355, -3560.227, -2641.833
1374, -255, 127, 344, -3542.159, -2674.282
1381, -255, 113, 334, -3529.511, -2621.998
1388, -255, 99, 323, -3520.657, -2660.398
1395, -255, 85, 313, -3514.460, -2612.279
1402, -255, 71, 302, -3510.122, -2653.595
1409, -255, 57, 291, -3507.085, -2682.516
1416, -255, 43, 281, -3504.959, -2627.761
1423, -255, 29, 271, -3503.471, -2589.432
1430, -255, 14, 260, -3577.430, -2637.603
1437, -255, 1, 249, -3479.201, -2671.322
1444, -255, -13, 239, -3485.440, -2619.925
1451, -255, -28, 228, -3564.808, -2658.947
1458, -255, -42, 218, -3545.365, -2611.263
1465, -255, -56, 207, -3531.755, -2652.884
1472, -255, -70, 196, -3522.229, -2682.019
1479, -255, -84, 186, -3515.560, -2627.413
1486, -255, -98, 176, -3510.892, -2589.189
1493, -255, -112, 165, -3507.624, -2637.432
1500, -255, -126, 154, -3505.337, -2671.202
1507, -255, -140, 144, -3503.736, -2619.841
1514, -255, -154, 133, -3502.615, -2658.889
1521, -255, -168, 123, -3501.830, -2611.222
1528, -255, -182, 112, -3501.281, -2652.855
1535, -255, -197, 101, -3575.896, -2681.999
1542, -255, -211, 91, -3553.127, -2627.399
1549, -255, -224, 81, -3462.189, -2589.179
